,sstate_initnum,sstate,sstatename,ideology,professional_index,professional_cat,salary,totalday,staffper,citizen_init,year_adoption,consitutional_init,signature,usage,legislative_insulation,p_evang,p_mormon,p_cath,p_metroarea,adjinc_cap,pblack,phisp,p65over,phighsch,pbachelors,demcontrol,pdemocrat,polarization,divided,kerry_04,gore_00,clinton_92,mondale_84,dukakis_88,humphrey_68,mcgovern_72,population,court_type,court_elected,berry_citizen,berry_government,Bryan_1896,tempculture,state_culture
0,1,AK,Alaska,,0.227,2.0,44392.38,173.31,4.0,1.0,1956.0,0.0,10.0,31.0,6.0,12.44,3.003126,8.66,41.5,26288.64,3.5,4.1,5.7,90.4,28.1,0.0,36.67,,50.0,35.5,27.7,43.42653,29.87,36.3,48.50091,37.328457,632674,RE,1,32.23506,37.09873,,Individualistic,I
1,2,AL,Alabama,-23.1,0.071,2.0,6078.36,90.36,2.31,0.0,,0.0,,,,40.55,0.4582732,3.38,69.9,23766.47,26.0,1.7,13.0,77.5,20.4,46.0,68.47,19.1,55.555557,36.8,41.6,46.17644,38.28,40.3,57.200832,26.01684,4451493,PE,1,36.47747,47.01782,66.96,Tradistionalistic,T
2,3,AR,Arkansas,-18.3,0.106,2.0,17319.16,83.23,2.17,1.0,1910.0,1.0,8.0,113.0,2.0,43.07,0.5601132,4.33,49.4,22107.68,15.7,3.2,14.0,81.7,18.4,31.0,79.9,19.0,100.0,44.6,45.9,59.99549,38.29,42.8,49.43122,30.826933,2678030,NPE,1,44.23038,53.64632,73.69,Tradistionalistic,T
3,4,AZ,Arizona,-18.2,0.232,2.0,25196.55,272.21,5.05,1.0,1911.0,1.0,10.0,150.0,3.0,9.41,4.878735,18.87,88.2,25358.11,3.1,25.3,13.0,85.1,24.6,0.0,39.68,42.5,55.555557,44.4,44.7,48.69983,32.54,39.3,38.99825,33.015606,5165274,RE,1,41.75423,25.1971,,Moral/Traditional,MT
4,5,CA,California,-6.2,0.626,3.0,107053.1,378.23,21.17,1.0,1911.0,1.0,5.0,275.0,1.0,7.16,1.557627,29.64,96.7,32334.12,6.7,32.4,10.6,81.2,27.5,38.0,58.68,52.6,44.44444,54.3,53.4,58.522,41.27,48.2,48.336212,43.028862,34000446,RE,1,54.03071,58.17913,48.51,Moral/Individual,MI
5,6,CO,Colorado,-8.6,0.202,2.0,28060.54,209.33,2.08,1.0,1910.0,1.0,5.0,178.0,4.0,10.58,2.134889,17.41,83.9,33018.34,3.8,17.1,9.7,89.7,34.6,0.0,44.7,46.2,66.66667,47.0,42.4,52.80263,35.12,46.1,45.018864,35.590057,4323410,RE,1,46.12788,39.32325,84.94,Moralistic,M
6,7,CT,Connecticut,-4.4,0.19,2.0,20847.27,245.79,2.37,0.0,,0.0,,,,2.4,0.2815184,40.25,95.6,41392.39,9.1,9.4,13.8,88.2,31.6,0.0,59.01,50.2,100.0,54.3,55.9,54.12232,38.83,47.4,52.751465,40.658264,3410079,AP,0,65.75613,63.15414,32.53,Moral/Individual,MI
7,8,DC,D.C.,,,,92520.0,,,,,,,,,9.85,0.1048951,27.98,100.0,22800.0,59.97,7.9,12.2,83.2,38.3,100.0,83.33,,,89.2,85.2,90.2923,85.38,85.3,81.819466,78.36945,572000,.,1,,,,,
8,9,DE,Delaware,-12.2,0.148,2.0,32807.45,97.12,0.89,0.0,,0.0,,,,5.14,0.3561281,19.3,80.0,31500.18,19.2,4.8,13.0,86.1,24.0,0.0,49.59,35.3,100.0,53.4,55.0,55.19341,39.93,43.7,47.977493,39.667725,786234,AP,0,55.04385,65.01756,43.09,Individualistic,I
9,10,FL,Florida,-17.1,0.223,3.0,34892.75,130.65,11.72,1.0,1968.0,1.0,8.0,16.0,5.0,13.98,0.470901,16.17,92.8,28285.59,14.6,16.8,17.6,84.0,22.8,0.0,42.15,31.2,33.333332,47.1,48.8,48.81712,34.66,38.8,43.284397,27.878555,16054328,RE,1,45.05506,37.17113,70.46,Individual/Traditional,IT
10,11,GA,Georgia,-17.7,0.116,1.0,18034.8,80.45,2.18,0.0,,0.0,,,,27.63,0.5334258,4.55,69.2,28211.85,28.7,5.3,9.6,82.6,23.1,77.0,58.48,27.1,11.11111,41.4,43.0,50.34163,39.79,39.8,46.80422,24.724407,8229823,NPE,1,39.17284,59.21003,57.78,Tradistionalistic,T
11,12,HI,Hawaii,,0.225,2.0,32315.46,121.36,3.27,0.0,,0.0,,,,8.13,3.530535,19.86,72.3,28300.54,2.0,7.2,13.4,87.47,26.37,77.0,83.22,,33.333332,54.0,55.8,56.71659,43.82,54.8,60.71949,37.516922,1212281,AP,0,76.31977,85.43082,,Individual/Traditional,IT
12,13,IA,Iowa,-13.5,0.17,2.0,27947.12,189.5,1.19,0.0,,0.0,,,,11.69,0.5192127,19.06,45.3,26572.21,2.1,2.8,14.9,89.7,25.5,0.0,45.54,32.9,11.11111,49.2,48.5,53.73635,45.89,55.1,43.502174,41.267517,2927509,RE,1,46.42217,45.88681,42.89,Moral/Individual,MI
13,14,ID,Idaho,-27.9,0.138,1.0,16667.81,145.77,0.49,1.0,1912.0,0.0,6.0,25.0,4.0,8.92,23.96753,10.07,39.3,24101.07,0.4,7.9,11.3,86.2,20.0,0.0,18.79,40.3,66.66667,30.3,27.6,40.34067,26.39,36.7,35.05824,28.844795,1299258,NPE,1,24.84321,16.06544,78.07,Moral/Individual,MI
14,15,IL,Illinois,-10.1,0.261,3.0,57078.71,143.92,5.55,0.0,,0.0,,,,10.27,0.2886787,31.16,84.9,32247.59,15.1,12.3,12.1,85.5,27.1,23.0,49.73,32.2,88.88889,54.8,54.6,58.58659,43.3,49.0,48.398895,40.697872,12435970,PE,1,55.16639,43.4147,42.68,Individualistic,I
15,16,IN,Indiana,-16.7,0.102,1.0,18052.09,91.64,1.19,0.0,,0.0,,,,15.97,0.4647,13.73,72.2,27227.63,8.4,3.5,12.4,84.6,17.1,0.0,44.48,38.4,77.77778,39.3,41.0,46.1606,37.68,39.9,43.03228,33.52229,6089950,RE,1,43.95894,52.09724,47.95,Individualistic,I
16,17,KS,Kansas,-15.9,0.125,1.0,15655.44,149.63,0.7,0.0,,0.0,,,,15.6,0.7578713,15.08,56.6,27537.4,5.7,7.0,13.3,88.1,27.3,0.0,33.92,34.4,33.333332,36.6,37.2,46.46103,32.6,43.5,38.76265,30.365948,2691750,RE,1,34.34937,26.74361,51.48,Moral/Individual,MI
17,18,KY,Kentucky,-13.2,0.148,2.0,14430.83,93.55,2.24,0.0,,0.0,,,,33.63,0.4447273,10.03,48.8,24243.72,7.3,1.5,12.5,78.7,20.5,46.0,59.3,23.3,77.77778,39.7,41.4,51.86867,39.37,44.2,46.22828,35.42929,4047424,NPE,1,33.36541,52.50961,48.86,Individual/Traditional,IT
18,19,LA,Louisiana,-23.0,0.129,2.0,25239.09,107.0,2.86,0.0,,0.0,,,,21.53,0.3579443,30.93,75.4,23227.11,32.5,2.4,11.6,80.8,22.5,54.0,71.95,18.6,55.555557,42.2,44.9,52.6632,38.18,44.8,54.591377,30.268406,4469970,PE,1,33.93464,50.33738,76.37,Tradistionalistic,T
19,20,MA,Massachusetts,-0.8,0.385,3.0,49754.0,443.59,3.9,1.0,1918.0,1.0,3.0,60.0,8.0,2.37,0.2579804,48.64,96.1,37960.49,5.4,6.8,13.5,85.1,32.7,0.0,82.29,38.2,100.0,61.9,59.8,62.08698,48.43,54.0,65.705605,54.50913,6357072,AP,0,79.55241,70.81555,26.28,Moral/Individual,MI
20,21,MD,Maryland,-5.7,0.194,2.0,41903.43,154.01,2.67,0.0,,0.0,,,,7.71,0.4876755,17.93,92.7,33958.96,27.9,4.3,11.3,85.7,32.3,77.0,71.99,31.4,33.333332,55.9,56.5,58.30016,47.02,48.5,50.96161,37.883778,5310908,RE,1,64.96007,82.67997,41.61,Individualistic,I
21,22,ME,Maine,-14.7,0.089,1.0,14161.82,119.09,0.7,1.0,1908.0,0.0,10.0,38.0,8.0,3.32,0.5560076,22.16,36.6,25680.89,0.5,0.7,14.4,89.3,24.1,23.0,53.99,23.0,0.0,53.6,49.1,56.05841,38.78,44.2,56.216015,38.505474,1276961,AP,0,65.90446,72.21391,29.2,Moralistic,M
22,23,MI,Michigan,-8.8,0.342,3.0,69815.45,447.12,9.15,1.0,1908.0,1.0,8.0,60.0,3.0,10.77,0.3014468,20.3,82.2,29516.06,14.2,3.3,12.3,86.2,23.0,0.0,44.87,42.1,55.555557,51.2,51.3,54.61011,40.24,46.0,53.752293,42.65912,9952006,NPE,1,55.46226,36.7816,44.73,Moralistic,M
23,24,MN,Minnesota,-12.8,0.169,2.0,35953.67,136.24,3.18,0.0,,0.0,,,,11.11,0.4076175,25.57,70.4,32207.29,3.5,2.9,12.1,90.8,31.2,0.0,56.21,46.1,44.44444,51.1,47.9,57.71937,49.72,53.6,56.564808,47.179756,4931093,NPE,1,54.48597,47.92047,40.88,Moralistic,M
24,25,MO,Missouri,-15.5,0.174,2.0,34414.99,201.15,2.35,1.0,1908.0,1.0,3.0,68.0,6.0,24.71,0.7316786,15.29,67.8,27452.16,11.2,2.1,13.5,86.6,26.2,62.0,47.39,21.6,55.555557,46.1,47.1,56.50724,39.98,48.0,49.3611,37.705666,5603553,RE,1,47.06582,53.89325,53.95,Individual/Traditional,IT
25,26,MS,Mississippi,-25.4,0.107,1.0,21939.63,201.79,0.79,1.0,1992.0,1.0,12.0,3.0,7.0,39.67,0.4562844,4.06,36.0,21017.39,36.3,1.4,12.1,80.3,18.7,31.0,67.77,35.3,33.333332,39.8,40.7,45.07463,37.46,39.5,62.988792,20.063396,2849100,NPE,1,31.88782,42.69896,91.03,Tradistionalistic,T
26,27,MT,Montana,-11.1,0.076,1.0,31477.63,92.82,0.35,1.0,1906.0,1.0,5.0,65.0,6.0,11.15,3.620633,18.74,33.9,22894.82,0.3,2.0,13.4,89.6,23.8,0.0,42.42,44.3,33.333332,38.6,33.4,51.72509,38.18,47.0,45.114094,39.516,903157,NPE,1,44.05106,23.65473,79.93,Moral/Individual,MI
27,28,NC,North Carolina,-20.7,0.198,2.0,27924.18,200.27,0.97,0.0,,0.0,,,,25.49,0.5075911,3.91,67.5,27055.46,21.6,4.7,12.0,79.2,23.2,54.0,58.29,22.6,44.44444,43.6,43.2,49.54118,37.89,41.9,42.528255,29.372438,8077367,NPE,1,44.54779,68.60355,52.63,Moral/Traditional,MT
28,29,ND,North Dakota,-26.6,0.051,1.0,6636.52,67.68,0.2,1.0,1914.0,1.0,2.0,166.0,3.0,9.75,0.577296,27.98,44.2,25006.95,0.6,1.2,14.7,85.5,22.6,0.0,34.07,33.3,88.88889,35.5,33.1,42.12042,33.8,43.4,40.597076,36.570694,640919,NPE,1,59.20089,27.7302,43.64,Moralistic,M
29,30,NE,Nebraska,-18.7,0.162,2.0,15114.55,159.64,4.1,1.0,1912.0,1.0,7.0,40.0,6.0,14.61,0.875873,21.77,52.6,27755.69,4.1,5.5,13.5,90.15,25.85,,,,0.0,32.7,33.3,38.69439,28.81,39.5,34.715935,29.497524,1712577,RE,1,33.07443,35.07965,51.88,Moral/Individual,MI
30,31,NH,New Hampshire,-12.8,0.027,1.0,190.91,46.0,0.3,0.0,,0.0,,,,2.43,0.5161785,34.78,59.9,33575.9,0.7,1.7,12.0,88.1,30.1,0.0,36.44,46.1,100.0,50.2,46.8,50.79634,30.95,36.8,45.741737,35.266342,1239881,AP,0,38.74574,29.51043,25.87,Moral/Individual,MI
31,32,NJ,New Jersey,-3.4,0.244,3.0,40090.91,81.27,11.68,0.0,,0.0,,,,2.41,0.2360895,40.37,100.0,37649.22,13.6,13.3,13.2,87.3,30.1,23.0,43.8,38.8,11.11111,52.9,56.1,51.41865,39.2,43.1,48.817207,37.392075,8429007,AP,0,61.30327,56.2389,36.02,Individualistic,I
32,33,NM,New Mexico,-16.0,0.109,1.0,8539.39,83.64,0.4,0.0,,0.0,,,,13.05,2.32254,36.82,56.9,21837.19,1.9,42.1,11.7,82.2,23.6,38.0,61.61,36.3,66.66667,49.1,47.9,55.14176,39.23,47.5,43.39317,37.45361,1821282,PE,1,48.77022,64.04523,,Individual/Traditional,IT
33,34,NV,Nevada,-0.2,0.138,1.0,11226.27,139.44,2.62,1.0,1912.0,1.0,10.0,39.0,5.0,5.33,5.795743,16.44,87.5,29695.85,6.8,19.7,11.0,82.8,19.3,0.0,51.87,33.3,88.88889,47.9,46.0,51.82411,31.97,39.2,45.294727,36.31922,2018723,NPE,1,46.67949,49.04675,81.15,Individualistic,I
34,35,NY,New York,-3.1,0.481,3.0,72854.63,420.0,16.45,0.0,,0.0,,,,2.94,0.2369752,39.76,92.1,35015.84,15.9,15.1,12.9,82.5,28.7,0.0,54.2,41.2,88.88889,58.4,60.2,59.47853,45.83,52.1,52.900993,41.309364,18989332,AP,0,67.58526,54.85217,38.72,Moral/Individual,MI
35,36,OH,Ohio,-10.1,0.304,3.0,45430.86,195.45,4.18,1.0,1912.0,1.0,3.0,65.0,6.0,9.94,0.3415506,19.65,81.2,28202.32,11.5,1.9,13.3,87.0,24.6,0.0,39.48,38.2,11.11111,48.7,46.4,51.16516,40.14,44.6,48.705063,38.96525,11359955,NPE,1,48.98349,20.68461,47.07,Individualistic,I
36,37,OK,Oklahoma,-27.3,0.187,2.0,39739.45,142.55,1.65,1.0,1907.0,1.0,8.0,83.0,4.0,41.46,0.7123724,4.88,60.8,24045.51,7.6,5.2,13.2,86.1,22.5,31.0,62.93,27.6,11.11111,34.4,38.4,44.37198,30.67,41.6,40.148533,24.563097,3453250,RE,1,27.61034,38.62571,,Individual/Traditional,IT
37,38,OR,Oregon,-7.9,0.159,2.0,24835.69,183.23,2.75,1.0,1902.0,1.0,6.0,318.0,3.0,11.34,3.041443,10.15,73.1,27820.81,1.6,8.0,12.8,88.1,27.2,0.0,45.32,42.7,100.0,51.4,47.0,56.63245,43.74,52.4,46.770035,44.659935,3429293,NPE,1,60.48458,67.42264,56.96,Moralistic,M
38,39,PA,Pennsylvania,-10.6,0.339,3.0,71391.45,178.18,10.35,0.0,,0.0,,,,5.73,0.2523898,30.96,84.6,29713.06,10.0,3.2,15.6,85.7,24.3,8.0,45.52,34.4,33.333332,50.9,50.6,55.54872,45.99,48.8,51.947224,39.830704,12282591,PE,1,53.76124,45.49382,36.27,Individualistic,I
39,40,RI,Rhode Island,-2.1,0.133,1.0,9715.59,138.36,1.36,0.0,,0.0,,,,1.62,0.2189984,51.63,94.1,29257.98,4.5,8.7,14.5,81.3,26.4,15.0,83.54,37.9,100.0,59.4,61.0,61.84591,48.02,55.9,66.82932,46.899242,1050236,AP,0,74.18642,74.7598,26.39,Moral/Individual,MI
40,41,SC,South Carolina,-21.4,0.124,2.0,19148.0,137.09,1.59,0.0,,0.0,,,,29.32,0.5070291,3.4,70.0,24272.62,29.5,2.4,12.1,83.0,19.0,0.0,49.88,29.2,77.77778,40.9,40.9,45.36974,35.57,37.9,43.73533,28.14174,4023438,AP,0,43.84491,36.24776,85.29,Tradistionalistic,T
41,42,SD,South Dakota,-24.1,0.064,1.0,9989.09,76.27,0.6,1.0,1898.0,1.0,5.0,48.0,4.0,13.8,0.7941666,24.01,34.6,25822.7,0.6,1.4,14.3,91.8,25.7,0.0,35.42,25.1,11.11111,38.4,37.6,47.73779,36.53,47.8,44.060795,45.670826,755509,RE,1,47.57419,13.08079,49.7,Moral/Individual,MI
42,43,TN,Tennessee,-16.6,0.116,2.0,23238.91,89.45,1.57,0.0,,0.0,,,,36.87,0.420903,3.21,67.9,26366.84,16.4,2.2,12.4,79.9,22.0,31.0,56.56,26.6,77.77778,42.5,47.3,52.59748,41.57,41.8,42.63442,30.526384,5702027,RE,1,40.19709,50.19976,52.09,Tradistionalistic,T
43,44,TX,Texas,-23.2,0.199,2.0,19621.65,162.51,10.65,0.0,,0.0,,,,24.27,0.7423673,20.86,84.8,28034.65,11.5,32.0,9.9,79.2,23.9,15.0,50.47,33.9,77.77778,38.2,38.0,47.75889,36.11,43.7,50.780876,33.426796,20946503,PE,1,39.39378,35.29504,68.44,Individual/Traditional,IT
44,45,UT,Utah,-28.0,0.065,1.0,10730.46,83.64,1.07,1.0,1900.0,0.0,10.0,18.0,4.0,1.89,66.19958,4.33,76.5,23475.79,0.8,9.0,8.5,90.7,26.4,0.0,32.11,54.0,11.11111,26.0,26.3,36.24467,24.68,31.5,39.6226,28.067663,2241555,RE,1,31.17835,7.342549,82.72,Moralistic,M
45,46,VA,Virginia,-17.9,0.131,2.0,24213.94,90.54,3.13,0.0,,0.0,,,,17.05,0.7502798,8.53,78.1,31319.99,19.6,4.7,11.2,86.6,31.9,8.0,47.46,36.8,44.44444,45.5,44.4,47.44039,37.09,39.7,42.837654,30.747732,7104016,AP,0,43.1974,41.68301,52.5,Tradistionalistic,T
46,47,VT,Vermont,-11.4,0.144,1.0,18639.87,206.15,0.2,0.0,,0.0,,,,2.42,0.492038,24.26,27.8,27375.63,0.5,0.9,12.7,90.0,28.6,31.0,54.22,42.8,77.77778,58.9,50.6,60.25088,40.81,48.2,45.21001,36.786583,609709,AP,0,78.5671,85.09914,16.66,Moralistic,M
47,48,WA,Washington,-5.9,0.197,2.0,36450.21,157.67,3.64,1.0,1912.0,0.0,8.0,136.0,4.0,9.81,3.012674,12.12,83.1,31626.88,3.2,7.5,11.2,91.8,28.6,23.0,51.73,45.8,88.88889,52.8,50.2,57.58822,42.86,50.8,51.014458,40.43732,5908372,NPE,1,52.87442,71.53157,56.96,Moral/Individual,MI
48,49,WI,Wisconsin,-10.5,0.439,3.0,52221.3,237.87,5.12,0.0,,0.0,,,,12.64,0.3127185,31.56,67.9,28470.88,5.7,3.6,13.1,86.7,23.8,0.0,47.35,43.1,100.0,49.7,47.8,52.79168,45.02,51.8,48.037178,45.01957,5372243,NPE,1,53.04045,40.9512,36.99,Moralistic,M
49,50,WV,West Virginia,-9.2,0.125,1.0,19726.38,123.25,1.17,0.0,,0.0,,,,11.07,0.5478394,5.83,42.3,21861.37,3.2,0.7,15.3,77.1,15.3,69.0,75.72,25.1,44.44444,43.2,45.6,57.7685,44.6,52.4,54.880543,36.38974,1807099,PE,1,64.04383,72.50131,46.82,Individual/Traditional,IT
50,51,WY,Wyoming,-17.8,0.054,1.0,9705.68,66.45,0.2,1.0,1968.0,0.0,15.0,6.0,9.0,11.35,9.534393,16.28,30.0,27766.79,0.8,6.4,11.7,90.0,20.6,0.0,29.4,47.3,22.22222,29.1,27.7,46.20596,28.24,38.6,38.9087,30.629326,494001,RE,1,31.10509,24.34863,21.8,Moralistic/Individualistic,MI
